Position,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run
89,Low YIHENG (#1463),5:17:45,25-29  (7),Male  (80),0:37:43,0:03:48,2:40:03,0:03:00,1:53:09
90,Wong CHI HOU (#1903),5:17:55,40-44  (19),Male  (81),0:36:31,0:02:55,2:38:49,0:02:33,1:57:05
91,Eymeric SEGARD (#2334),5:18:39,50-54  (4),Male  (82),0:29:38,0:03:54,2:47:07,0:02:19,1:55:38
92,Yong Wei CHIA (#1911),5:19:00,40-44  (20),Male  (83),0:33:41,0:04:00,2:42:47,0:02:03,1:56:27
93,Carsten BAUER (#2285),5:19:06,50-54  (5),Male  (84),0:35:20,0:03:39,2:45:25,0:03:31,1:51:09
94,Daniel HUGHES (#1743),5:20:10,35-39  (20),Male  (85),0:39:13,0:04:40,2:42:23,0:03:08,1:50:44
95,Jacquie POTTER (#2259),5:20:35,45-49  (2),Female  (10),0:32:40,0:03:28,2:48:34,0:01:33,1:54:18
96,Richard TANG (#2224),5:21:03,45-49  (14),Male  (86),0:38:23,0:03:36,2:38:18,0:02:05,1:58:38
97,Le HOANG VU (#1764),5:21:32,35-39  (21),Male  (87),0:30:56,0:03:12,2:45:23,0:01:34,2:00:25
98,Alain GERBEAU (#2127),5:21:38,45-49  (15),Male  (88),0:36:03,0:02:51,2:52:20,0:03:26,1:46:56
99,Marine TAILLEFER (#1479),5:21:45,25-29  (3),Female  (11),0:36:05,0:03:17,2:46:11,0:01:28,1:54:43
100,Eugene OELOFSE (#1740),5:22:47,35-39  (22),Male  (89),0:33:41,0:03:21,2:38:55,0:01:24,2:05:25
101,Alfonso DI GIULIO (#1906),5:23:13,40-44  (21),Male  (90),0:39:23,0:05:30,2:36:05,0:03:41,1:58:31
102,Sumiko TAN (#1655),5:23:27,30-34  (3),Female  (12),0:32:07,0:04:05,2:50:41,0:01:33,1:54:58
103,Ahmed AL-AWA (#2311),5:23:48,50-54  (6),Male  (91),0:41:14,0:03:25,2:51:46,0:02:19,1:45:03
104,Leonardus COOLEN (#2183),5:24:57,45-49  (16),Male  (92),0:38:54,0:03:12,2:38:56,0:01:55,2:01:58
105,Doro KARBACH (#2253),5:25:29,45-49  (3),Female  (13),0:31:24,0:03:16,2:44:01,0:02:24,2:04:22
106,Roberto CRUCITTI (#2034),5:25:32,40-44  (22),Male  (93),0:35:01,0:05:30,2:39:54,0:03:19,2:01:45
107,Kazuyuki Kitasawa (#2328),5:26:18,50-54  (7),Male  (94),0:35:33,0:05:27,2:52:38,0:02:51,1:49:47
108,Negraud SEBASTIEN (#1923),5:26:41,40-44  (23),Male  (95),0:44:00,0:03:43,2:42:05,0:04:08,1:52:43
109,Ben ALDOUS (#1625),5:26:56,30-34  (11),Male  (96),0:30:01,0:03:17,2:50:40,0:01:08,2:01:47
110,Jean POIRE (#2360),5:27:24,55-59  (4),Male  (97),0:37:07,0:04:46,2:49:00,0:01:56,1:54:32
111,Leyann RAMO (#1491),5:28:22,25-29  (4),Female  (14),0:31:37,0:03:19,2:58:26,0:01:34,1:53:23
112,Ralph SEVILLENO (#1623),5:28:52,30-34  (12),Male  (98),0:36:32,0:05:58,2:48:50,0:02:57,1:54:33
113,Lachlan NALLY (#1615),5:28:58,30-34  (13),Male  (99),0:32:09,0:03:09,3:00:37,0:01:55,1:51:06
114,Jonathan WORTELBOER (#1617),5:28:59,30-34  (14),Male  (100),0:34:13,0:04:09,2:32:25,0:01:56,2:16:13
115,Nik Qisti FATHI (#1722),5:29:08,35-39  (23),Male  (101),0:37:02,0:03:04,2:43:25,0:02:05,2:03:30
116,Doug IRVINE (#1921),5:29:25,40-44  (24),Male  (102),0:39:21,0:02:53,2:45:37,0:01:23,2:00:09
117,Alexander LI (#1588),5:29:45,30-34  (15),Male  (103),0:34:50,0:03:30,2:48:50,0:02:56,1:59:37
118,Tevis ONG (#1690),5:30:01,35-39  (24),Male  (104),0:32:44,0:03:27,2:59:22,0:01:21,1:53:06
119,Ichikawa YUKI (#1445),5:30:03,25-29  (8),Male  (105),0:29:15,0:03:09,2:43:37,0:07:04,2:06:56
120,Hendrika NALLY (#1643),5:30:08,30-34  (4),Female  (15),0:31:39,0:03:06,2:58:21,0:01:58,1:55:02
121,Charnwit PASUWAT (#2025),5:30:11,40-44  (25),Male  (106),0:38:41,0:04:37,2:46:17,0:04:00,1:56:34
122,Bengt Joakim MOELLER (#2329),5:30:16,50-54  (8),Male  (107),0:33:55,0:04:16,2:44:41,0:03:14,2:04:07
123,Lucas SAKR (#1566),5:30:20,30-34  (16),Male  (108),0:38:05,0:04:36,2:43:46,0:01:54,2:01:57
124,Petr POLANSKY (#2393),5:30:40,60-64  (1),Male  (109),0:37:38,0:04:49,2:42:12,0:03:15,2:02:45
125,Géraud DE LA TULLAYE (#1715),5:30:41,35-39  (25),Male  (110),0:36:16,0:04:44,2:57:30,0:04:03,1:48:07
126,Rajesh Naidu RUDRUSAMY (#1504),5:30:42,30-34  (17),Male  (111),0:37:46,0:03:44,2:40:15,0:02:15,2:06:40
127,Nathan JOHNSON (#1729),5:30:56,35-39  (26),Male  (112),0:32:53,0:03:01,2:44:40,0:01:33,2:08:47
128,Daniel HORAN (#2215),5:31:23,45-49  (17),Male  (113),0:33:28,0:04:03,2:50:54,0:01:49,2:01:06
129,Jenny NEUSE (#2068),5:31:32,40-44  (4),Female  (16),0:37:53,0:03:23,2:49:40,0:02:10,1:58:25
130,Damian BORG (#2007),5:31:50,40-44  (26),Male  (114),0:35:06,0:03:00,2:44:14,0:01:07,2:08:22
131,Scott LEADBETTER (#1620),5:31:59,30-34  (18),Male  (115),0:29:41,0:02:39,2:43:27,0:04:27,2:11:43
132,Romeo Iii PUNCIA (#1567),5:32:22,30-34  (19),Male  (116),0:39:54,0:03:21,2:48:49,0:01:37,1:58:39
133,Zoltan KOMLOSI (#1701),5:32:30,35-39  (27),Male  (117),0:39:51,0:04:54,2:41:15,0:03:26,2:03:02
134,Lok Yin YAU (#1452),5:32:31,25-29  (9),Male  (118),0:32:31,0:04:17,2:50:44,0:02:36,2:02:20
135,Jimmy PANGESTOE (#1993),5:32:48,40-44  (27),Male  (119),0:40:16,0:04:24,2:57:13,0:02:53,1:48:00
136,Nobuaki ITO (#2113),5:33:02,45-49  (18),Male  (120),0:36:23,0:05:04,2:51:11,0:02:31,1:57:51
137,Stephen CULLIGAN (#2012),5:33:13,40-44  (28),Male  (121),0:38:36,0:04:30,2:56:56,0:02:25,1:50:45
138,Romain SEILER (#1714),5:33:49,35-39  (28),Male  (122),0:34:41,0:04:08,2:47:52,0:02:12,2:04:54
139,Gaurav CHAUHAN (#1660),5:33:53,35-39  (29),Male  (123),0:43:43,0:03:27,2:49:57,0:02:48,1:53:55
140,Thomas SCHUETZ (#1937),5:34:15,40-44  (29),Male  (124),0:36:57,0:04:57,2:50:05,0:03:00,1:59:14
141,Muhammad Hanafi MOHD ZAIDAN (#1401),5:35:04,18-24  (8),Male  (125),0:41:17,0:04:33,2:49:42,0:03:15,1:56:16
142,Sebastien LEGRAND (#2147),5:35:22,45-49  (19),Male  (126),0:38:26,0:03:20,2:41:09,0:01:59,2:10:27
143,Marcel DEGREEF (#2019),5:35:35,40-44  (30),Male  (127),0:33:53,0:03:32,2:41:01,0:02:09,2:14:58
144,Mark LAVENDER (#2115),5:35:39,45-49  (20),Male  (128),0:37:49,0:03:41,2:47:58,0:01:19,2:04:49
145,Janne OLDAGER (#2043),5:35:49,40-44  (5),Female  (17),0:41:54,0:04:55,2:48:50,0:01:46,1:58:23
146,Takatoshi MORI (#2389),5:36:16,60-64  (2),Male  (129),0:35:11,0:04:59,2:50:43,0:04:20,2:01:01
147,Laurent AMESTOY (#2332),5:36:27,50-54  (9),Male  (130),0:32:52,0:03:14,2:53:04,0:01:57,2:05:19
148,Mark KOH (#1673),5:36:30,35-39  (30),Male  (131),0:37:39,0:04:06,2:42:08,0:01:35,2:11:00
149,William LEOW (#1885),5:36:36,40-44  (31),Male  (132),0:33:10,0:04:00,2:47:00,0:02:53,2:09:32
150,Chin Guan OOI (#2016),5:36:40,40-44  (32),Male  (133),0:41:08,0:05:30,2:54:55,0:02:45,1:52:20
151,Mark RAINE (#1659),5:36:44,35-39  (31),Male  (134),0:40:59,0:05:00,2:55:16,0:01:50,1:53:37
152,Benjamin LEE (#2365),5:36:57,55-59  (5),Male  (135),0:36:22,0:04:19,2:51:58,0:02:22,2:01:54
153,Julius VINCZE (#2362),5:37:00,55-59  (6),Male  (136),0:41:29,0:04:04,2:46:46,0:02:02,2:02:37
154,Lamia ASAG-GAU (#1640),5:37:13,30-34  (5),Female  (18),0:37:25,0:03:46,2:50:11,0:02:17,2:03:33
155,Jens SCHEIBNER (#2223),5:37:24,45-49  (21),Male  (137),0:43:21,0:05:42,2:48:13,0:02:28,1:57:37
156,Melissa RAPALLI (#1483),5:37:26,25-29  (5),Female  (19),0:38:23,0:05:25,2:53:25,0:02:35,1:57:36
157,Phillip PACE (#2024),5:37:39,40-44  (33),Male  (138),0:34:57,0:04:35,2:46:03,0:04:57,2:07:03
158,Jens HUELSERMANN (#1930),5:37:45,40-44  (34),Male  (139),0:41:43,0:06:57,2:50:35,0:03:47,1:54:41
159,Bradley ARMSTRONG (#1582),5:37:56,30-34  (20),Male  (140),0:34:51,0:06:10,2:49:08,0:03:13,2:04:32
160,Gregg Alexis MAIZ (#1763),5:38:13,35-39  (32),Male  (141),0:40:01,0:03:48,2:44:44,0:01:21,2:08:17
161,Tiago VILARINHO (#1757),5:38:18,35-39  (33),Male  (142),0:37:26,0:05:08,2:49:55,0:02:52,2:02:54
162,Yisit SARICINAR (#2422),5:38:29,35-39  (34),Male  (143),0:38:22,0:03:08,2:54:14,0:02:50,1:59:52
163,Tamara SCHMIDT (#1423),5:39:03,18-24  (1),Female  (20),0:32:37,0:03:28,2:55:22,0:02:42,2:04:51
164,Ian NOKES (#2352),5:39:37,55-59  (7),Male  (144),0:36:45,0:03:13,2:46:07,0:02:18,2:11:12
165,Anubhav MEHROTRA (#1806),5:39:41,35-39  (35),Male  (145),0:38:00,0:03:48,3:06:45,0:03:19,1:47:47
166,Alexandra MERTES (#1488),5:39:56,25-29  (6),Female  (21),0:37:20,0:04:52,2:54:08,0:02:37,2:00:57
167,Kenny FOONG (#1919),5:40:02,40-44  (35),Male  (146),0:49:20,0:04:35,2:44:08,0:02:02,1:59:55
168,Sebastien BORNE (#1809),5:40:12,35-39  (36),Male  (147),0:37:08,0:05:31,2:43:49,0:02:35,2:11:08
169,Byron GRIGORATOS (#1572),5:40:19,30-34  (21),Male  (148),0:31:02,0:07:13,2:48:31,0:04:13,2:09:18
170,Reinhold NAGLER (#2292),5:40:30,50-54  (10),Male  (149),0:39:17,0:05:08,2:48:35,0:03:04,2:04:24
171,Stuart MENDEL (#2307),5:40:47,50-54  (11),Male  (150),0:36:43,0:04:31,2:51:00,0:02:12,2:06:19
172,Will MURRAY (#1624),5:41:16,30-34  (22),Male  (151),0:34:48,0:03:39,2:54:07,0:02:05,2:06:35
173,Matthias SIEMERS (#2319),5:41:17,50-54  (12),Male  (152),0:39:26,0:07:15,2:47:57,0:04:35,2:02:02
174,Taufiq TAUFIQ (#1661),5:41:20,35-39  (37),Male  (153),0:42:49,0:06:00,2:44:49,0:02:43,2:04:58
175,Colin EVANS (#2191),5:41:29,45-49  (22),Male  (154),0:36:14,0:06:12,2:47:34,0:07:11,2:04:17
176,Vo HIEP (#2271),5:41:30,50-54  (13),Male  (155),0:43:39,0:04:15,2:49:52,0:03:05,2:00:37
177,Dave TURNER (#1879),5:41:35,40-44  (36),Male  (156),0:40:31,0:04:30,2:54:29,0:02:58,1:59:06
178,Chaidir AKBAR (#1684),5:42:25,35-39  (38),Male  (157),0:49:07,0:04:57,2:35:29,0:07:31,2:05:18
179,Vincent DRISS (#2172),5:42:34,45-49  (23),Male  (158),0:33:46,0:03:22,2:49:23,0:03:50,2:12:12
180,Vincent VAUCELLE (#2141),5:42:40,45-49  (24),Male  (159),0:37:58,0:03:49,2:46:59,0:01:52,2:11:59
181,Muhamad Azzim MOHD NOH (#1456),5:42:42,25-29  (10),Male  (160),0:42:31,0:03:36,2:43:23,0:01:34,2:11:38
182,Alexandre FICHOU (#1470),5:42:45,25-29  (11),Male  (161),0:31:27,0:04:24,2:43:57,0:03:25,2:19:29
183,Ingars ZAGORSKIS (#1612),5:42:47,30-34  (23),Male  (162),0:37:17,0:04:12,2:52:32,0:02:19,2:06:24
184,Mohamad ADHITIA (#1667),5:42:50,35-39  (39),Male  (163),0:38:00,0:06:48,2:59:52,0:06:29,1:51:40
185,Richard JELF (#1691),5:42:50,35-39  (40),Male  (164),0:39:35,0:05:38,2:45:06,0:02:51,2:09:38
186,Paul ROHWER (#2361),5:42:58,55-59  (8),Male  (165),0:36:35,0:05:33,2:48:36,0:04:12,2:07:59
187,Seriktegi ARSLAN (#1599),5:43:04,30-34  (24),Male  (166),0:43:00,0:04:28,2:51:54,0:02:37,2:01:03
188,Michaella TRIGG (#2346),5:43:04,50-54  (1),Female  (22),0:33:25,0:03:42,2:42:21,0:01:39,2:21:56
189,Tomoki HATOKO (#2151),5:43:15,45-49  (25),Male  (167),0:42:26,0:05:59,3:02:33,0:01:59,1:50:16
190,Jamie CHAMBERS (#1776),5:43:17,35-39  (41),Male  (168),0:34:23,0:05:27,2:48:34,0:02:37,2:12:15
191,Nic CHAMBERS (#1775),5:43:18,35-39  (42),Male  (169),0:34:46,0:05:06,2:48:30,0:02:37,2:12:18
192,Sylvia SOH (#2230),5:43:37,45-49  (26),Male  (170),0:37:31,0:04:44,2:47:49,0:02:49,2:10:42
193,Jacqueline BRINKHORST (#2340),5:43:43,50-54  (2),Female  (23),0:38:38,0:03:39,2:58:16,0:01:56,2:01:11
194,Nicholas Allen Richard WELCH (#2309),5:44:35,50-54  (14),Male  (171),0:38:35,0:04:23,2:59:43,0:01:41,2:00:11
195,Chris DALTON (#1858),5:45:58,40-44  (37),Male  (172),0:36:38,0:03:04,2:56:17,0:02:03,2:07:55
196,Holly HEARSEY (#2060),5:46:01,40-44  (6),Female  (24),0:35:04,0:05:54,2:58:29,0:03:41,2:02:52
197,Tobias DEIL (#1681),5:46:06,35-39  (43),Male  (173),0:43:23,0:06:13,2:47:48,0:02:47,2:05:52
198,Lynn GUAN (#1835),5:46:58,35-39  (2),Female  (25),0:38:50,0:05:13,2:54:44,0:02:00,2:06:09
199,Kok Hoong LEE (#1889),5:46:59,40-44  (38),Male  (174),0:40:15,0:03:54,2:50:05,0:02:30,2:10:14
200,Gareth ELLEN (#2211),5:47:20,45-49  (27),Male  (175),0:35:18,0:04:46,2:48:01,0:02:14,2:16:58
201,Mohd Rody Sazali BIN MOHD ROZDHI (#1545),5:47:32,30-34  (25),Male  (176),0:37:52,0:03:31,2:50:10,0:01:54,2:14:03
202,Jason WALKER (#1541),5:47:44,30-34  (26),Male  (177),0:33:15,0:02:54,2:43:44,0:01:15,2:26:33
203,Madeleine Jeanne ARGOSINO (#1420),5:47:58,18-24  (2),Female  (26),0:31:11,0:04:20,3:00:33,0:02:12,2:09:40
204,Wan Kheat Gavin LOH (#2094),5:48:21,45-49  (28),Male  (178),0:41:05,0:08:16,2:48:29,0:06:02,2:04:28
205,Guy HEYWOOD (#2270),5:48:56,50-54  (15),Male  (179),0:40:55,0:03:29,2:55:12,0:02:10,2:07:08
206,Muhammad MUSLIM (#1990),5:49:08,40-44  (39),Male  (180),0:39:49,0:06:11,2:49:36,0:02:50,2:10:39
207,Stephen WILLETT (#2157),5:49:19,45-49  (29),Male  (181),0:46:13,0:04:34,2:53:17,0:02:11,2:03:02
208,Bruce MURTAGH (#2331),5:49:22,50-54  (16),Male  (182),0:37:38,0:07:09,2:46:08,0:05:33,2:12:52
209,Tomasz SAWA (#1892),5:49:53,40-44  (40),Male  (183),0:40:44,0:08:34,2:52:48,0:02:23,2:05:23
210,Danial Haidhar YUSOFF (#1511),5:50:00,30-34  (27),Male  (184),0:46:27,0:07:22,2:49:49,0:03:06,2:03:14
211,Madeleine SELETTO (#2239),5:50:12,45-49  (4),Female  (27),0:40:53,0:04:48,3:00:43,0:02:35,2:01:11
